Felice:triste, infelice, malinconico, depresso, abbattuto
Bello:brutto, sgradevole, orribile, ripugnante, deforme
Grande:piccolo, minuto, ridotto, esiguo, microscopico
Veloce:lento, pigro, tardivo, macchinoso, indolente
Facile:difficile, complesso, complicato, arduo, ostico
Forte:debole, fragile, esile, gracile, fiacco
Buono:cattivo, malvagio, pessimo, perfido, crudele
Giovane:vecchio, anziano, maturo, decrepito, vetusto
Caldo:freddo, gelido, glaciale, ghiacciato, rigido
Ricco:povero, indigente, misero, bisognoso, squattrinato
Intelligente:stupido, ottuso, sciocco, ignorante, imbecille
Coraggioso:codardo, timoroso, vigliacco, pavido, pusillanime
Lungo:corto, breve, ridotto, conciso, succinto
Alto:basso, diminuto, corto, piccolo, esiguo
Nuovo:vecchio, antiquato, datato, obsoleto, decrepito
Duro:molle, soffice, morbido, cedevole, flessibile
Pulito:sporco, sudicio, lurido, contaminato, impuro
Chiaro:oscuro, scuro, torbido, ambiguo, nebuloso
Leggero:pesante, massiccio, robusto, greve, ingombrante
Gentile:scortese, maleducato, sgarbato, brusco, rude
Forte:debole, fragile, esile, fiacco, gracile
Ricco:povero, indigente, misero, bisognoso, squattrinato
Allegro:triste, malinconico, depresso, abbattuto, sconsolato
Caldo:freddo, gelido, glaciale, ghiacciato, rigido
Dolce:amaro, aspro, acre, pungente, acidulo
Tranquillo:agitato, nervoso, turbolento, irrequieto, frenetico
Generoso:avaro, egoista, tirchio, meschino, gretto
Sincero:falso, ipocrita, menzognero, bugiardo, ingannevole
Vivace:apatico, pigro, indolente, fiacco, svogliato
Onesto:disonesto, corrotto, fraudolento, infido, truffaldino
