Felice:Contento, Allegro, Gioioso, Sereno, Soddisfatto, Entusiasta, Raggiante, Euforico, Beato, Lieto, Radioso, Appagato, Sorridente, Estasiato, Compiaciuto, Gratificato, Esultante, Esuberante, Trionfante, In estasi
Bello:Affascinante, Attraente, Splendido, Meraviglioso, Incantevole, Stupendo, Elegante, Gradevole, Delizioso, Affettuoso, Seducente, Fagocitante, Piacevole, Raffinato, Luminoso, Incantevole, Magnifico, Straordinario, Superbo, Favoloso
Grande:Enorme, Immenso, Vastissimo, Gigantesco, Colossale, Massiccio, Monumentale, Straordinario, Imponente, Maestoso, Eccezionale, Monumentale, Sostanzioso, Ampio, Potente, Esteso, Significativo, Magnifico, Incommensurabile, Rilevante, Gargantuesco
Veloce:Rapido, Celere, Presto, Fulmineo, Agilissimo, Svelto, Velocissimo, Impetuoso, Lampo, Accelerato, Frizzante, Bruciante, Scattante, Vivace, Esuberante, Immediate, Irruento, Espeditivo, Turbinante, Scorrente
Facile:Semplice, Leggero, Comodo, Facile, Accessibile, Intuitivo, Pratico, Agevole, Rilievo, Elementare, Senza sforzo, Elementare, Spontaneo, Scorrevole, Senza difficoltà, Senza impegno, Liscio, Comodo, Confortevole, Abituale
Forte:Potente, Robusto, Vigore, Intenso, Resistente, Energetico, Solido, Tenace, Stabile, Massiccio, Strenuo, Deciso, Inflessibile, Solenne, Ferme, Audace, Inossidabile, Imponente, Caparbio, Energico
Buono:Gentile, Onesto, Affettuoso, Eccellente, Bravo, Positivo, Caritatevole, Dolce, Generoso, Affidabile, Rispettoso, Corretto, Leale, Meritevole, Valido, Equo, Benefico, Sano, Amichevole, Giusto
Giovane:Nuovo, Fresco, In erba, In gioventù, Infantile, Esuberante, Giovanile, Promettente, Immature, Fanciullo, Alle prime armi, Puerile, Adolescente, In crescita, Spensierato, Vivace, Emergente, Radiante, Attivo, Dinamico
Caldo:Tiepido, Bollente, Afoso, Soffocante, Torbido, Ardente, Incandescente, Ustionante, Caloroso, Fervente, Ristretto, Vaporeggiante, Pronto, Appassionato, Entusiasta, Scaldante, Surriscaldato, Temperato, Bruciante, Equilibrato
Ricco:Abbondante, Opulento, Lussuoso, Vasto, Prolifico, Prosperoso, Fertile, Sostanzioso, Elevato, Copioso, Eccedente, Ample, Florido, Grasso, Ristretto, Robusto, Sfarzoso, Raffinato, Imponente, Inflazionato
Intelligente:Saggio, Acuto, Perspicace, Sagace, Astuto, Geniale, Luminoso, Abile, Brillante, Acuto, Ingenioso, Razonato, Riflessione, Attento, Capace, Intuitivo, Percepente, Istruito, Cauto, Arguto
Coraggioso:Audace, Valoroso, Intrepido, Temerario, Determinato, Audace, Tenace, Impavido, Fiero, Risoluto, Ardito, Indomito, Impavido, Brillante, Invincibile, Vigoroso, Fiero, Intrepido, Eroico, Invulnerabile
Lungo:Esteso, Vasto, Prolungato, Sinuoso, Ampio, Infinitamente, Perpetuo, Espanso, Imponente, Infinito, Immenso, Gigante, Perpetuo, Incessante, Continuo, Duraturo, Spazioso, Continuativo, Lontano, Duraturo
Alto:Elevato, Imponente, Maestoso, Superiore, Altissimo, Torreggiante, Straordinario, Verticale, Sostenuto, Aereo, Rilevante, Enorme, Lungo, Robusto, Vasto, Solido, Inarrivabile, Espandibile, Imponibile, Alto livello
